Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,NET-NET
GBX,59.95,1077486.0,1941000000.0,458170000.0,276150000.0,400127000.0,428021000.0,1182664000.0,32190000.0,2.07,13.4,4.5,0.0,0.0,0.0,611466000.0,8.201273687480585
GCA,59.95,1077486.0,1941000000.0,458170000.0,276150000.0,400127000.0,428021000.0,1182664000.0,32190000.0,2.07,13.4,4.5,0.0,0.0,0.0,611466000.0,8.201273687480585
HCC,26.41,1381504.0,1371000000.0,468120000.0,132228000.0,54294000.0,666749000.0,580292000.0,52790000.0,0.76,2.82,9.2,0.0,0.0,0.0,35470000.0,4.702500473574541
HCLP,12.15,2426807.0,1125000000.0,194870000.0,139448000.0,44272000.0,899158000.0,327505000.0,89670000.0,1.32,6.02,2.08,0.0,0.0,0.0,5662000.0,7.851421880227503
HFC,65.94,5066070.0,11683000000.0,2390000000.0,765070000.0,1630092000.0,4713274000.0,4795214000.0,174690000.0,0.97,8.49,7.87,0.0,0.0,0.0,630757000.0,11.092023012193026
KGC,3.01,23375668.0,3721000000.0,1730000000.0,84600000.0,1094300000.0,4887200000.0,3538000000.0,1250000000.0,0.39,9.55,0.31,0.0,0.0,0.0,1025800000.0,2.38848
LPI,8.69,9478989.0,2030000000.0,902750000.0,100004000.0,9148000.0,1768385000.0,1257710000.0,230710000.0,2.35,3.86,2.28,0.0,0.0,0.0,112159000.0,3.044562437692341
LPX,28.62,2964948.0,4032000000.0,375700000.0,164700000.0,259100000.0,981800000.0,844000000.0,142720000.0,2.21,8.38,3.37,0.0,0.0,0.0,928000000.0,9.240996356502242
LUV,62.5,7798029.0,36541000000.0,3540000000.0,662000000.0,420000000.0,17620000000.0,14680000000.0,573020000.0,1.46,10.42,6.12,0.0,0.0,0.0,1495000000.0,8.972636208160274
LVS,60.97,4294223.0,48025000000.0,11320000000.0,615000000.0,47000000.0,15516000000.0,13052000000.0,787940000.0,1.59,12.7,4.8,0.0,0.0,0.0,2419000000.0,6.8123841916897225
MGA,56.53,1287796.0,19200000000.0,4360000000.0,6878000000.0,3379000000.0,8141000000.0,13661000000.0,345920000.0,1.26,8.56,6.54,0.0,0.0,0.0,726000000.0,5.937789084181314
MGM,28.53,8933282.0,15325000000.0,13510000000.0,583096000.0,102292000.0,19635459000.0,17449276000.0,537900000.0,1.82,8.72,3.27,0.0,0.0,0.0,1499995000.0,7.761007622234616
MIC,46.9,1523272.0,3985000000.0,3380000000.0,158152000.0,36955000.0,4659614000.0,4658248000.0,85370000.0,1.72,8.4,5.55,0.0,0.0,0.0,47121000.0,2.173813986177814
MPC,81.93,8531589.0,37600000000.0,17270000000.0,4695000000.0,5550000000.0,26443000000.0,27219000000.0,451000000.0,1.49,10.12,8.24,0.0,0.0,0.0,3011000000.0,18.91629711751663
MT,32.38,4005471.0,32179000000.000008,13520000000.0,5345000000.0,17986000000.0,36971000000.0,44442000000.0,1010000000.0,3.33,6.19,5.18,0.0,0.0,0.0,2574000000.0,8.02450495049505
NFG,56.42,1109617.0,4834000000.0,2090000000.0,144955000.0,69615000.0,4674074000.0,4399585000.0,85950000.0,0.84,12.17,4.62,0.0,0.0,0.0,555530000.0,11.326849912739966
NUE,64.41,3230227.0,20366000000.0,4290000000.0,2028545000.0,3461686000.0,5093147000.0,6756470000.0,316340000.0,1.78,12.34,5.22,0.0,0.0,0.0,949104000.0,8.023116741480685
NUGT,13.83,10354476.0,20366000000.0,4290000000.0,2028545000.0,3461686000.0,5093147000.0,6756470000.0,316340000.0,1.78,12.34,5.22,0.0,0.0,0.0,949104000.0,8.023116741480685
OGE,36.56,2244182.0,7328000000.0,3200000000.0,262900000.0,165100000.0,8293900000.0,6561600000.0,199730000.0,0.71,11.38,3.22,0.0,0.0,0.0,14400000.0,10.145821859510338
PBF,47.38,2220839.0,5790000000.0,2220000000.0,952552000.0,2213797000.0,3479213000.0,5215044000.0,119850000.0,1.43,6.43,7.44,0.0,0.0,0.0,573021000.0,5.49438881935753
PEG,52.19,4304193.0,26348000000.0,14330000000.0,1771000000.0,866000000.0,31797000000.0,28869000000.0,505320000.0,0.11,12.15,4.29,0.0,0.0,0.0,313000000.0,9.899172801393176
PPL,29.55,9851082.0,20763000000.0,22380000000.0,1324000000.0,320000000.0,33092000000.0,30718000000.0,699570000.0,0.45,14.72,2.02,0.0,0.0,0.0,485000000.0,5.734951470188831
QUAL,91.06,1055859.0,1140000000.0,1050000000.0,552500000.0,246500000.0,1377600000.0,1930000000.0,38120000.0,0.45,14.2,1.55,0.0,0.0,0.0,64300000.0,1.299186778593914
