Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares OutstandingBeta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Beta,Cash And Cash Equivalents,NET-NET,Shares Outstanding
AABA,67.98,5012165.0,41023000000.0,4450000000.0,0.0,0.0,0.0,0.0,0.0,2.4,28.21,0.0,0.0,0.0,1.85,0.0,0.0,605510000.0
AAL,39.48,2882553.0,18301000000.0,24080000000.0,1752000000.0,1359000000.0,32939000000.0,47470000000.0,0.0,12.94,3.07,0.0,0.0,0.0,1.48,295000000.0,-26.58465614210332,460510000.0
AAME,3.0,3061.0,58724000.0,33740000.0,13241000.0,0.0,0.0,230256000.0,0.0,55.77,0.052,0.0,0.0,0.0,0.77,24547000.0,-9.668061728395061,20250000.0
AAOI,33.79,1407912.0,673475000.0,61030000.0,65734000.0,75768000.0,197943000.0,119708000.0,0.0,19.57,1.75,0.0,0.0,0.0,1.36,83984000.0,12.66007614213198,19700000.0
