Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,NET-NET
Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,NET-NET
DV,0.0,0.0,0.0,0.0,2774000000.0,3250000000.0,84824000000.0,96177000000.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,358000000.0,-10.414315308236302
DVA,70.42,4253733.0,11670000000.0,9940000000.0,2137109000.0,181799000.0,3149213000.0,13050767000.0,166900000.0,1.55,23.86,2.93,0.0,0.0,0.0,508234000.0,-46.132946375074894
DVD,2.15,22729.0,82613000.0,0.0,1038000.0,15000.0,51000000.0,21058000.0,18210000.0,-0.2,7.53,0.3,0.0,0.0,0.0,1000.0,1.6874794069192751
DVHI,24.0,1001.0,82613000.0,0.0,1038000.0,15000.0,51000000.0,21058000.0,18210000.0,-0.2,7.53,0.3,0.0,0.0,0.0,1000.0,1.6874794069192751
DVHL,19.8,5513.0,82613000.0,0.0,1038000.0,15000.0,51000000.0,21058000.0,18210000.0,-0.2,7.53,0.3,0.0,0.0,0.0,1000.0,1.6874794069192751
DVN,40.11,9825030.0,20632000000.0,6070000000.0,1670000000.0,0.0,21171000000.0,16137000000.0,508800000.0,3.0,0.0,0.48,0.0,0.0,0.0,2673000000.0,17.609080188679247
DVP,35.58,8203.0,20632000000.0,6070000000.0,1670000000.0,0.0,21171000000.0,16137000000.0,508800000.0,3.0,0.0,0.48,0.0,0.0,0.0,2673000000.0,17.609080188679247
DVY,101.98,234469.0,20632000000.0,6070000000.0,1670000000.0,0.0,21171000000.0,16137000000.0,508800000.0,3.0,0.0,0.48,0.0,0.0,0.0,2673000000.0,17.609080188679247
DVYA,44.87,15802.0,20632000000.0,6070000000.0,1670000000.0,0.0,21171000000.0,16137000000.0,508800000.0,3.0,0.0,0.48,0.0,0.0,0.0,2673000000.0,17.609080188679247
DVYE,39.78,46648.0,20632000000.0,6070000000.0,1670000000.0,0.0,21171000000.0,16137000000.0,508800000.0,3.0,0.0,0.48,0.0,0.0,0.0,2673000000.0,17.609080188679247
DVYL,74.34,1065.0,20632000000.0,6070000000.0,1670000000.0,0.0,21171000000.0,16137000000.0,508800000.0,3.0,0.0,0.48,0.0,0.0,0.0,2673000000.0,17.609080188679247
DW,108.6,114194.0,0.0,0.0,1670000000.0,0.0,21171000000.0,16137000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2673000000.0,17.609080188679247
DWAQ,115.17,154.0,0.0,0.0,1670000000.0,0.0,21171000000.0,16137000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2673000000.0,17.609080188679247
DWAS,58.01,34972.0,0.0,0.0,1670000000.0,0.0,21171000000.0,16137000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2673000000.0,17.609080188679247
DWM,54.03,68814.0,0.0,0.0,1670000000.0,0.0,21171000000.0,16137000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2673000000.0,17.609080188679247
DWRE,74.97,600.0,0.0,0.0,1670000000.0,0.0,21171000000.0,16137000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2673000000.0,17.609080188679247
DWTI,50.83,3568012.0,0.0,0.0,1670000000.0,0.0,21171000000.0,16137000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2673000000.0,17.609080188679247
DWX,38.15,40804.0,0.0,0.0,1670000000.0,0.0,21171000000.0,16137000000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2673000000.0,17.609080188679247
DX,6.39,1268913.0,367503000.0,2520000000.0,35722000.0,0.0,0.0,2748720000.0,57510000.0,0.4,4.27,1.5,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXB,25.41,46270.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXD,28.35,744385.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXJ,57.19,1004167.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXJC,27.24,15814.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXJF,25.18,5520.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXJH,37.95,871.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXJR,14.47,1716.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXJT,28.37,1300.0,0.0,0.0,35722000.0,0.0,0.0,2748720000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,40867000.0,-46.61904886106764
DXR,5.71,20653.0,21067000.0,4360000.0,0.0,0.0,0.0,0.0,3730000.0,-2.43,0.0,0.34,0.0,0.0,0.0,0.0,0.0
DY,85.0,484963.0,2606000000.0,758600000.0,715740000.0,79039000.0,414768000.0,1115960000.0,31240000.0,1.16,26.34,3.17,0.0,0.0,0.0,84029000.0,-1.3072503201024328
DYN,11.86,791620.0,0.0,0.0,715740000.0,79039000.0,414768000.0,1115960000.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,84029000.0,-1.3072503201024328
DYY,2.85,1325.0,0.0,0.0,715740000.0,79039000.0,414768000.0,1115960000.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,84029000.0,-1.3072503201024328
DZK,75.07,930.0,0.0,0.0,715740000.0,79039000.0,414768000.0,1115960000.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,84029000.0,-1.3072503201024328
DZZ,6.46,10970.0,0.0,0.0,715740000.0,79039000.0,414768000.0,1115960000.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,84029000.0,-1.3072503201024328
E,38.49,144333.0,69087000000.0,27950000000.0,15749000000.0,4621000000.0,63158000000.0,66849000000.0,3580000000.0,0.61,12.97,2.97,0.0,0.0,0.0,7363000000.0,4.9704608938547485
EAA,25.47,31397.0,0.0,0.0,15749000000.0,4621000000.0,63158000000.0,66849000000.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,7363000000.0,4.9704608938547485
EAB,24.05,4693.0,1133000000.0,3020000000.0,15749000000.0,4621000000.0,63158000000.0,66849000000.0,46980000.0,0.61,7.07,3.41,0.0,0.0,0.0,7363000000.0,378.762239250745
EAD,8.07,115838.0,551614000.0,230000000.0,12478076.0,0.0,0.0,239149215.0,68950000.0,0.56,21.86,0.37,0.0,0.0,0.0,158.0,-3.3327121102248007
EAE,23.25,1817.0,1095000000.0,3020000000.0,12478076.0,0.0,0.0,239149215.0,46980000.0,0.56,6.82,3.414,0.0,0.0,0.0,158.0,-4.891240953597276
EARN,11.8,132401.0,150507000.0,1540000000.0,54144000.0,0.0,0.0,1694384000.0,12690000.0,0.33,31.29,0.38,0.0,0.0,0.0,56117000.0,-125.89905437352246
EAT,48.73,1340334.0,1959000000.0,1510000000.0,53659000.0,70966000.0,938929000.0,2065649000.0,40820000.0,-0.81,17.64,2.72,0.0,0.0,0.0,10872000.0,-25.480665115139637
EBF,21.1,243969.0,541485000.0,30000000.0,35654000.0,26480000.0,45908000.0,67735000.0,26290000.0,0.53,15.3,1.35,0.0,0.0,0.0,96230000.0,4.350836820083682
EBND,26.19,135199.0,541485000.0,30000000.0,35654000.0,26480000.0,45908000.0,67735000.0,26290000.0,0.53,15.3,1.35,0.0,0.0,0.0,96230000.0,4.350836820083682
EBR,3.85,341111.0,5551000000.0,12220000000.0,7435795000.0,479243000.0,27965837000.0,130222827000.0,1350000000.0,0.35,0.0,0.12,0.0,0.0,0.0,792252000.0,-70.85057055555555
EBS,66.0,2030969.0,3299000000.0,13480000.0,146085000.0,142812000.0,407210000.0,157861000.0,50020000.0,1.64,29.43,2.24,0.0,0.0,0.0,178292000.0,12.167348060775689
EC,24.81,1639531.0,1018999999999.9999,14050000000.0,6724292000000.0,4601396000000.0,82712639000000.0,69631713000000.0,41120000000.0,1.73,13.47,1.84,0.0,0.0,0.0,7945885000000.0,689.9496108949417
ECA,12.64,7779790.0,12097000000.0,4450000000.0,1347000000.0,0.0,8954000000.0,8539000000.0,956300000.0,2.64,188.81,0.07,0.0,0.0,0.0,719000000.0,2.242235700094113
ECC,17.97,45197.0,384167000.0,185140000.0,18170986.0,0.0,0.0,197708798.0,21340000.0,0.25,10.87,1.66,0.0,0.0,0.0,14051810.0,-7.967607708528585
ECF,10.28,31373.0,133100000.0,0.0,630432.0,0.0,0.0,875455.0,12930000.0,0.83,11.88,0.866,0.0,0.0,0.0,339764.0,-0.004862103634957463
ECH,46.12,774405.0,133100000.0,0.0,630432.0,0.0,0.0,875455.0,12930000.0,0.83,11.88,0.866,0.0,0.0,0.0,339764.0,-0.004862103634957463
ECL,159.2,2139706.0,46051000000.0,7220000000.0,2703300000.0,1445900000.0,3707100000.0,12273700000.0,288900000.0,0.87,30.0,5.31,0.0,0.0,0.0,211400000.0,-19.400398061613014
ECNS,45.97,5151.0,46051000000.0,7220000000.0,2703300000.0,1445900000.0,3707100000.0,12273700000.0,288900000.0,0.87,30.0,5.31,0.0,0.0,0.0,211400000.0,-19.400398061613014
ECOM,11.15,184456.0,301473000.0,1550000.0,38052000.0,0.0,10877000.0,58600000.0,27280000.0,-0.05,0.0,0.39,0.0,0.0,0.0,53422000.0,1.255058651026393
ECON,22.75,117638.0,301473000.0,1550000.0,38052000.0,0.0,10877000.0,58600000.0,27280000.0,-0.05,0.0,0.39,0.0,0.0,0.0,53422000.0,1.255058651026393
ECR,1.3,1566167.0,396054000.0,556400000.0,76081000.0,0.0,0.0,0.0,302330000.0,3.45,0.0,0.19,0.0,0.0,0.0,0.0,0.1887366453874905
ECT,1.86,16554.0,32569000.000000004,0.0,1359959.0,0.0,0.0,1178851.0,17610000.0,2.2,7.03,0.26,0.0,0.0,0.0,356602.0,0.011227725724020443
ED,78.44,4717541.0,24232000000.0,17910000000.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,311100000.0,-0.17,15.36,5.07,0.0,0.0,0.0,797000000.0,23.535036965605915
EDC,85.73,197904.0,24232000000.0,17910000000.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,311100000.0,-0.17,15.36,5.07,0.0,0.0,0.0,797000000.0,23.535036965605915
EDD,6.69,296591.0,0.0,0.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,797000000.0,23.535036965605915
EDE,34.09,542933.0,0.0,0.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,797000000.0,23.535036965605915
EDEN,65.97,1412.0,0.0,0.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,797000000.0,23.535036965605915
EDF,13.15,68825.0,0.0,0.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,797000000.0,23.535036965605915
EDI,12.45,65632.0,0.0,0.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,797000000.0,23.535036965605915
EDIV,30.08,37605.0,0.0,0.0,1925000000.0,334000000.0,37600000000.0,32686000000.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,797000000.0,23.535036965605915
EDN,26.9,343558.0,1667000000.0,318350000.0,5779136000.0,391904000.0,14812021000.0,24244043000.0,886010000.0,1.22,21.95,1.28,0.0,0.0,0.0,82860000.0,-5.438830261509464
EDOG,21.08,5045.0,1667000000.0,318350000.0,5779136000.0,391904000.0,14812021000.0,24244043000.0,886010000.0,1.22,21.95,1.28,0.0,0.0,0.0,82860000.0,-5.438830261509464
EDR,41.49,8365491.0,0.0,992000000.0,0.0,0.0,2912918000.0,1116356000.0,80600000.0,0.12,0.0,1.67,0.0,0.0,0.0,24787000.0,22.597382133995037
EDU,73.11,2621875.0,11968000000.0,0.0,4774000.0,40175000.0,449592000.0,1771657000.0,158120000.0,0.94,40.48,1.87,0.0,0.0,0.0,983319000.0,-1.9926511510245384
EDV,109.18,161805.0,11968000000.0,0.0,4774000.0,40175000.0,449592000.0,1771657000.0,158120000.0,0.94,40.48,1.87,0.0,0.0,0.0,983319000.0,-1.9926511510245384
EDZ,50.76,135868.0,11968000000.0,0.0,4774000.0,40175000.0,449592000.0,1771657000.0,158120000.0,0.94,40.48,1.87,0.0,0.0,0.0,983319000.0,-1.9926511510245384
EE,58.65,522085.0,2399000000.0,1470000000.0,0.0,0.0,0.0,0.0,40690000.0,0.32,25.88,2.28,0.0,0.0,0.0,0.0,0.0
EEA,9.55,3861.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EEB,35.34,6516.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EEH,18.0,100.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EEHB,15.04,0.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EELV,25.22,22175.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EEM,43.03,102750671.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EEMS,46.37,23602.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EEMV,59.08,330377.0,75614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.16,0.0,0.0,0.0,0.0,0.0,0.0
EEP,11.6,2993929.0,4986000000.0,7480000000.0,271000000.0,2000000.0,12896000000.0,8089000000.0,326520000.0,1.83,23.39,0.5,0.0,0.0,0.0,35000000.0,15.45464290089428
