Ticker,Sector,Industry,Previous Close,Volume,Market Cap,Enterprise Value,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Assets,Intangible Assets,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),Price/Sales,EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,FCF,NAV,NAV%,NET-NET,NET-NET%,EY,EV/FCF,Tangible Book Value,Price/Tangible Book Value
AAOI,Technology,Semiconductors,28.36,6187653.0,485753000.0,602170000.0,61030000.0,65734000.0,75768000.0,197943000.0,452984000.0,4811000.0,119708000.0,19700000.0,1.36,14.12,1.51,1.75,0.0,0.0,0.0,83984000.0,17320000.0,3.839259259259259,0.6337273443656422,-9.668061728395061,-5.114068820593643,0.012790550783223852,31.288537549407113,77745000.0,0.6120972409801274
CSX,Industrials,Railroads,74.21,2929482.0,63595000000.0,75870000000.0,13790000000.0,970000000.0,372000000.0,31764000000.0,35739000000.0,0.0,21018000000.0,858810000.0,1.09,10.67,5.49,6.94,0.0,0.0,0.0,401000000.0,1430000000.0,13.531234096692112,-0.749653393215687,3.826479007633588,-0.9292048287209327,0.010236041022301808,22.860712387028176,212711000.0,3.9944619695267285
MU,Technology,Semiconductor Memory,45.23,9771794.0,53119000000.0,50110000000.0,4640000000.0,5478000000.0,3595000000.0,23672000000.0,43376000000.0,0.0,10212000000.0,1160000000.0,1.01,3.98,1.75,11.51,0.0,0.0,0.0,6802000000.0,8320000000.0,0.5075987841945289,-0.7115915998894722,-1.2794072948328268,-1.726935962973197,0.45997630331753553,26.878980891719745,1670000.0,3.467305389221557
RYAAY,Industrials,Airlines,96.04,1656056.0,14359000000.0,22430000000.0,4540000000.0,57900000.0,3700000.0,7565000000.0,12361800000.0,46800000.0,7892900000.0,1150000000.0,0.49,12.16,1.68,6.66,0.0,0.0,0.0,1515000000.0,762600000.0,0.4184931506849315,-0.6423135464231355,0.35707762557077627,-0.6948054482301058,54810.85086238834,2.4992798353909464e-05,1833000.0,2.795744680851064
BTU,Basic Materials,Coal,35.64,1142363.0,4094999999.9999995,5100000000.0,1400000000.0,552100000.0,291300000.0,5111900000.0,8181200000.0,0.0,4525400000.0,114600000.0,-0.13,6.31,0.72,5.66,0.0,0.0,0.0,1012100000.0,1200000000.0,2.7804709141274238,-0.30488227146814406,0.8074965373961219,-0.7981258656509695,0.21619417475728156,18.697452229299362,40150000.0,1.4386052303860524
CNX,Energy,Oil & Gas E&P,14.31,1162553.0,3006000000.0,6000000000.0,2350000000.0,237248000.0,10742000.0,5789753000.0,6931913000.0,0.0,3032014000.0,213060000.0,0.14,3.88,2.11,3.638,0.0,0.0,0.0,509167000.0,15840000.0,0.0,-1.0,0.0,-1.0,0.08124015110178384,65.27397260273973,0.0,2.5453570819112628
CSX,Industrials,Railroads,74.05,1926441.0,64351000000.0,75870000000.0,13790000000.0,970000000.0,372000000.0,31764000000.0,35739000000.0,0.0,21018000000.0,858810000.0,1.09,10.8,5.56,6.94,0.0,0.0,0.0,401000000.0,1430000000.0,9.376187989556136,-0.5649100700902026,-23.862323759791124,-2.107300406486827,0.05530254755480836,25.574549237170597,179554000.0,2.2983754190939774
DHI,Consumer Cyclical,Residential Construction,42.18,1259153.0,15967000000.0,18180000000.0,3090000000.0,112700000.0,9237100000.0,194400000.0,12184600000.0,0.0,4437000000.0,376400000.0,1.2,12.44,1.02,3.41,0.0,0.0,0.0,973000000.0,277800000.0,28.652959683910147,-0.7344735456963196,-25.1719470256823,-1.23326797354909,0.042898579146407344,20.054171180931743,3916000000.0,3.7661030898876406
DKS,Consumer Cyclical,Specialty Retail,35.48,1168637.0,3592000000.0,3700000000.0,171060000.0,64540000.0,1711103000.0,1677340000.0,4203939000.0,136587000.0,2262438000.0,76530000.0,0.13,11.0,0.41,3.231,0.0,0.0,0.0,101253000.0,271960000.0,-1.8500819672131148,-1.0544141755062681,-7.645686475409836,-1.224873131629701,0.038583483870967744,22.295742232451094,-45142000.0,-18.37756413096451
FCX,Basic Materials,Copper,13.92,8275583.0,19967000000.0,34780000000.0,11130000000.0,1571000000.0,3893000000.0,22844000000.0,37302000000.0,306000000.0,26006000000.0,1450000000.0,2.56,6.95,1.03,1.98,0.0,0.0,0.0,4447000000.0,3270000000.0,14.045517078651685,0.10944052753962752,-6.468195945692884,-1.5109159514765311,0.028677096421189156,4.267946722020412,375015306.0,0.9013552102857371
